AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|3|C|EL ORO|PASAJE|320314,5600|228717,4000|0,0000|4806,2500|1857796,4700|598413,1300|678285,3100|33483,2700|10164,5500|1417911,7200|2411634,6800
2025|3|M|AZUAY|SANTA ISABEL|119789,6300|49447,3700|0,0000|4302,6200|0,0000|78765,6100|31914,4500|4465,6400|200,0000|119498,6300|173539,6200
2025|3|P|SANTO DOMINGO DE LOS TSACHILAS|LA CONCORDIA|5913,0500|9760,0000|0,0000|0,0000|0,0000|7354,1100|915,5600|0,0000|0,0000|8269,6700|15673,0500
2025|3|N|BOLIVAR|CALUMA|357,4000|41820,0000|0,0000|0,0000|0,0000|5178,0000|8034,3700|0,0000|3751,0000|16963,3700|42177,4000
2025|3|H|AZUAY|EL PAN|0,0000|12834,3200|0,0000|0,0000|0,0000|6167,5000|1,0000|0,0000|0,0000|6168,5000|12834,3200
2025|3|M|LOS RIOS|URDANETA|25619,1600|14741,1900|0,0000|0,0000|0,0000|33772,9200|997,8900|0,0000|0,0000|36259,7000|40360,3500
2025|3|A|LOS RIOS|BUENA FE|294151,3400|6750918,6300|0,0000|0,0000|1121802,0000|660130,9400|4146069,2300|3924,6000|336909,9200|5155564,0000|8166871,9700
2025|3|F|COTOPAXI|LA MANA|188550,8700|2550,0000|0,0000|5571,4300|0,0000|124734,8700|15320,4000|0,0000|18078,4000|171013,8000|196672,3000
2025|3|C|MANABI|SAN VICENTE|13509,6100|4067,1500|0,0000|0,0000|0,0000|10842,4200|3456,4800|0,0000|0,0000|14298,9000|17576,7600
2025|3|G|NAPO|TENA|5629277,1300|2098126,4500|0,0000|185593,6200|0,0000|5419402,0300|1599638,2100|2252,2200|390681,6200|7640363,7400|7912997,2000
2025|3|J|ZAMORA CHINCHIPE|YACUAMBI|435,0000|30,1000|0,0000|0,0000|0,0000|2540,5000|5,4000|0,0000|0,0000|2545,9000|465,1000
2025|3|D|AZUAY|CUENCA|360195,8100|11910473,4600|0,0000|0,0000|0,0000|4000594,5600|3259167,9800|18406,1300|2129,7600|7280719,2900|12270669,2700
